section,function,parameters,direct_records,output_cardinality,our_records,our_lut_evals,alternative_records,alternative_lut_evals,alternative_ciphertext_multiplications,record_advantage,exact,exhaustive_cases,retained,paper_route,alternative_route,note
elementary,floor(log(1+x)/log(1+y)),"x,y in [1,63], t=64",3969,7,913,3,3969,1,0,4.347207,True,3969,True,quantized log-log(1+x) difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(log(1+x^2)/log(1+y^2)),"x,y in [1,63], t=64",3969,12,1187,3,3969,1,0,3.343724,True,3969,True,quantized log-log(1+x^2) difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(sqrt(1+x^2)/sqrt(1+y^2)),"x,y in [1,63], t=64",3969,45,1311,3,3969,1,0,3.02746,True,3969,True,quantized logarithms of square-root features followed by one exact finite outer LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(asinh(x)/asinh(y)),"x,y in [1,63], t=64",3969,6,1001,3,3969,1,0,3.965035,True,3969,True,quantized log-asinh difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(sqrt(log(1+x)/log(1+y))),"x,y in [1,63], t=64",3969,3,911,3,3969,1,0,4.356751,True,3969,True,quantized half log-log difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(cuberoot(log(1+x)/log(1+y))),"x,y in [1,63], t=64",3969,2,913,3,3969,1,0,4.347207,True,3969,True,quantized one-third log-log difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(sqrt(asinh(x)/asinh(y))),"x,y in [1,63], t=64",3969,3,981,3,3969,1,0,4.045872,True,3969,True,quantized half log-asinh difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
screened out,integer RMS,"t=8, ell=6",262144,8,343,7,295,1,6,0.860058,True,262144,False,"six square LUTs, addition, then one square-root LUT","form sum(x_i^2) with ciphertext multiplications, then one RMS LUT",Rejected because the optimistic intermediate route uses fewer LUT records.
screened out,variance bucket,"t=8, ell=6",262144,8,12733,7,442,1,7,0.034713,True,262144,False,packed sum and sum-of-squares code followed by one bucket LUT,"form 6*sum(x_i^2)-sum(x_i)^2, then one bucket LUT",Rejected because the optimistic algebraic route is much smaller.
retained order statistic,maximum,"t=8, ell=6",262144,8,75,5,262144,1,0,3495.253333,True,262144,True,five-comparison maximum chain,pack all six inputs and use one multivariate LUT (optimistic preprocessing omitted),The comparator network is counted; only public post-processing is free.
retained order statistic,minimum,"t=8, ell=6",262144,8,75,5,262144,1,0,3495.253333,True,262144,True,five-comparison minimum chain,pack all six inputs and use one multivariate LUT (optimistic preprocessing omitted),The comparator network is counted; only public post-processing is free.
retained order statistic,lower median,"t=8, ell=6",262144,8,180,12,1896,13,0,10.533333,True,262144,True,12-comparator sorting network; select z_(2),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,upper median,"t=8, ell=6",262144,8,180,12,1896,13,0,10.533333,True,262144,True,12-comparator sorting network; select z_(3),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,second smallest,"t=8, ell=6",262144,8,180,12,1896,13,0,10.533333,True,262144,True,12-comparator sorting network; select z_(1),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,second largest,"t=8, ell=6",262144,8,180,12,1896,13,0,10.533333,True,262144,True,12-comparator sorting network; select z_(4),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,range,"t=8, ell=6",262144,8,105,7,169,8,0,1.609524,True,262144,True,seven-comparison simultaneous min/max network; subtract,"compute min and max, pack the 8-by-8 pair, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,interquartile range,"t=8, ell=6",262144,8,180,12,1896,13,0,10.533333,True,262144,True,sorting network; compute z_(3)-z_(1),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,top-two sum,"t=8, ell=6",262144,15,180,12,1896,13,0,10.533333,True,262144,True,sorting network; compute z_(5)+z_(4),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,bottom-two sum,"t=8, ell=6",262144,15,180,12,1896,13,0,10.533333,True,262144,True,sorting network; compute z_(0)+z_(1),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,top-three sum,"t=8, ell=6",262144,22,180,12,1896,13,0,10.533333,True,262144,True,"sorting network; sum z_(3),z_(4),z_(5)","run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,central-four sum,"t=8, ell=6",262144,29,105,7,169,8,0,1.609524,True,262144,True,simultaneous min/max network; subtract them from the public sum,"compute min and max, pack the 8-by-8 pair, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,median-pair gap,"t=8, ell=6",262144,8,180,12,1896,13,0,10.533333,True,262144,True,sorting network; compute z_(3)-z_(2),"run the same sorting network, rank-pack the 1716 possible sorted tuples, then use one outer LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,median absolute deviation,"t=8, ell=6",262144,4,450,30,262414,19,0,583.142222,True,262144,True,two sorting networks and six absolute-difference LUTs,"find the median, form six deviations, pack them, then use one median LUT",The comparator network is counted; only public post-processing is free.
retained order statistic,median-neighborhood count,"t=8, ell=6",262144,6,270,18,262414,19,0,971.903704,True,262144,True,sorting network and six direct |x_i-z_(2)|<=1 LUTs,"find the median, form six deviations, pack them, then use one count LUT",The comparator network is counted; only public post-processing is free.
screened out,winsorized mean,"t=8, ell=6",262144,8,223,13,223,13,0,1.0,True,262144,False,"sorting network, weighted public sum, then a 43-record floor-division LUT",the same sorting/statistic channel followed by the same 43-record LUT,Rejected because the intermediate route ties rather than loses to the listed route.
retained histogram statistic,mode,"t=5, ell=8",390625,5,268,44,59249,41,0,221.078358,True,390625,True,histogram plus a tie-preserving maximum-count scan,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,distinct count,"t=5, ell=8",390625,5,245,45,59249,41,0,241.832653,True,390625,True,histogram plus one nonzero LUT per symbol,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,plurality margin,"t=5, ell=8",390625,8,353,49,59249,41,0,167.844193,True,390625,True,histogram plus a 9-comparator count-sorting network,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,modal frequency,"t=5, ell=8",390625,7,268,44,59249,41,0,221.078358,True,390625,True,histogram plus a maximum-count chain,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,singleton-symbol count,"t=5, ell=8",390625,5,245,45,59249,41,0,241.832653,True,390625,True,histogram plus one [c_v=1] LUT per symbol,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,repeated-symbol count,"t=5, ell=8",390625,4,245,45,59249,41,0,241.832653,True,390625,True,histogram plus one [c_v>=2] LUT per symbol,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,exact-two-symbol count,"t=5, ell=8",390625,5,245,45,59249,41,0,241.832653,True,390625,True,histogram plus one [c_v=2] LUT per symbol,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,heavy-symbol count,"t=5, ell=8",390625,3,245,45,59249,41,0,241.832653,True,390625,True,histogram plus one [c_v>=3] LUT per symbol,"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,least positive frequency,"t=5, ell=8",390625,5,313,49,59249,41,0,189.29393,True,390625,True,"map zero counts to 9, then take the minimum positive count","build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,occupied-frequency range,"t=5, ell=8",390625,7,381,53,59249,41,0,155.509186,True,390625,True,map zero counts to 9 and compute max(count)-min_positive(count),"build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
retained histogram statistic,number of modal symbols,"t=5, ell=8",390625,4,353,49,59249,41,0,167.844193,True,390625,True,"find the maximum count, then test each count for equality with it","build the histogram, pack all five counts in base 9, then use one outer LUT",The 200 records used to build the histogram are counted for both routes.
screened out,second frequency moment,"t=5, ell=8",390625,15,245,45,200,40,5,0.816327,True,390625,False,histogram plus one nonlinear count LUT per symbol,"build the histogram, then use ciphertext multiplications and public additions",Rejected under the optimistic convention that intermediate multiplications add no LUT records.
screened out,collision-pair count,"t=5, ell=8",390625,15,245,45,200,40,5,0.816327,True,390625,False,histogram plus one nonlinear count LUT per symbol,"build the histogram, then use ciphertext multiplications and public additions",Rejected under the optimistic convention that intermediate multiplications add no LUT records.
screened out,Gini bucket,"t=5, ell=8",390625,6,245,45,200,40,5,0.816327,True,390625,False,histogram plus one nonlinear count LUT per symbol,"build the histogram, then use ciphertext multiplications and public additions",Rejected under the optimistic convention that intermediate multiplications add no LUT records.
screened out,quantized Jaccard,"two binary vectors, n=8, output scale=15",65536,15,113,9,81,1,8,0.716814,True,65536,False,"pair LUTs, accumulated counts, then a normalized-score LUT","form the intersection/count statistics by ciphertext multiplication, then one LUT",Rejected because the optimistic intermediate-count route has fewer LUT records.
screened out,quantized Dice,"two binary vectors, n=8, output scale=15",65536,14,185,9,153,1,8,0.827027,True,65536,False,"pair LUTs, accumulated counts, then a normalized-score LUT","form the intersection/count statistics by ciphertext multiplication, then one LUT",Rejected because the optimistic intermediate-count route has fewer LUT records.
screened out,quantized cosine similarity,"two binary vectors, n=8, output scale=15",65536,14,761,9,729,1,8,0.95795,True,65536,False,"pair LUTs, accumulated counts, then a normalized-score LUT","form the intersection/count statistics by ciphertext multiplication, then one LUT",Rejected because the optimistic intermediate-count route has fewer LUT records.
screened out,quantized overlap coefficient,"two binary vectors, n=8, output scale=15",65536,10,761,9,729,1,8,0.95795,True,65536,False,"pair LUTs, accumulated counts, then a normalized-score LUT","form the intersection/count statistics by ciphertext multiplication, then one LUT",Rejected because the optimistic intermediate-count route has fewer LUT records.
screened out,binary Levenshtein distance,"two binary strings, n=8",65536,9,2208,136,,,0,,True,65536,False,pair mismatch LUTs and a fixed min-plus dynamic program,bit/circuit dynamic program; no defensible conversion to this LUT-record metric,Removed because the record-only experiment cannot establish strict speed dominance.
screened out,binary longest-common-subsequence length,"two binary strings, n=8",65536,9,1344,128,,,0,,True,65536,False,equality LUTs and a fixed max-plus dynamic program,bit/circuit dynamic program; no defensible conversion to this LUT-record metric,Removed because the record-only experiment cannot establish strict speed dominance.
screened out,dynamic time-warping distance,"two length-4 sequences over [0,2]",6561,9,1008,48,,,0,,True,6561,False,absolute-difference LUTs and a fixed min-plus recurrence,bit/circuit dynamic program; no defensible conversion to this LUT-record metric,Removed because the record-only experiment cannot establish strict speed dominance.
screened out,discrete Frechet distance,"two length-4 sequences over [0,2]",6561,3,320,64,,,0,,True,6561,False,"absolute-difference, min, and max LUTs in a fixed recurrence",bit/circuit dynamic program; no defensible conversion to this LUT-record metric,Removed because the record-only experiment cannot establish strict speed dominance.
